pool_address,block_number,block_time,tx_hash,qty0,qty1
0x4a8da4fa93b7a429d701de78b90b1b5f66ac0d28,1.2887235e+07,2022-06-24 06:29:40.000 UTC,0xfdf3890b7c3465ab44d5c7f677d11ee300e39bbd9ed929c84ddfce6cb6a10036,548078657401783,5523640724055774150
0x961aa0a829361c307d628e69aba1282138521e22,1.5453915e+07,2022-07-23 06:23:23.000 UTC,0x4e7dba36d623d8fe06c415f4e3c6968c7e7da33d2a324f89b12589b1e9756f1c,151625511974636,2411343841796899
0x427464d9434f99a3d942c60210ee2376166975ce,1.8069053e+07,2022-08-06 14:55:10.000 UTC,0x2cb59ea1aa6df82e43ce0570ddb9576760edea6a529165a29af8620b33067bb3,512887,512989217365885370
0x7e29ccaa4bf2894aca02c77e6b99cafc1d24b2f5,1.8150648e+07,2022-08-07 07:10:57.000 UTC,0xc77f131f00c8719d917df27a898c81ba5ed95ed6f300efdfb889dba1d3d7de0f,909485,909532
0x9ed87916f525b0981325ab42f1b1242b8b8238b5,1.8186211e+07,2022-08-07 12:50:22.000 UTC,0xaf128c4692cedbad664c7302ac8f8617ad9736cc7f3b37168a9aec7e5c28726d,4700311,4700467
0x427464d9434f99a3d942c60210ee2376166975ce,1.8270411e+07,2022-08-08 08:11:47.000 UTC,0x2b953ffa1b75da308a4dd30592c53bcc7b8bf57d0b2406453d5f550c5664103c,2159510,2159505267328496839
0x9ed87916f525b0981325ab42f1b1242b8b8238b5,1.8808648e+07,2022-08-12 00:55:51.000 UTC,0x630c9d0380a90744af37bab693465d9e2c828e672b7d27fb5274e32f4c5c69fd,10655796,10653893
0x9ed87916f525b0981325ab42f1b1242b8b8238b5,1.8995021e+07,2022-08-13 19:04:40.000 UTC,0xf2e3abc15efe0e5ddb1e3d150c5d24dfe2c2c475e2022b82ac4125063a55a145,21480284,21475989
0x427464d9434f99a3d942c60210ee2376166975ce,1.9405123e+07,2022-08-16 18:18:14.000 UTC,0x8aeb56fbdaa2b4281e3d24d85c242a013e2ce160a1a5b23e65c09f8128cbaa90,23853974,23877447246195096106
0x81e2f9ed2b784b978050b7085c36e662458dd225,1.9483271e+07,2022-08-17 10:30:03.000 UTC,0xc2918efe4657404670b94ef0f6df4449a84a879d54f9704c73dadff584c7b9d4,11638242033434,22217
0x9ed87916f525b0981325ab42f1b1242b8b8238b5,1.95474e+07,2022-08-17 21:18:21.000 UTC,0x83f8ec4619b7263e3732177738fcb06a0cdf7ba63d5ce7591ec38789227ab48b,830745,830568
0xb101593e1843625e5c7b60556f67b0cac3234102,2.0235816e+07,2022-08-23 04:41:05.000 UTC,0xafa8acccc95c42cbf9163b27822811a05c9bca7c8f76b6fc9155d1da3c05433d,110772284109245493,206029
0x427464d9434f99a3d942c60210ee2376166975ce,2.0489408e+07,2022-08-25 04:15:10.000 UTC,0x7e0b030e86888d098e2a5386476c9d697a8e75b35f23eba720e069470b7bc3f2,1924,1924605274382460
0x961aa0a829361c307d628e69aba1282138521e22,2.1071413e+07,2022-08-29 22:15:16.000 UTC,0x32dd17fcde18431f52a60bfef2c4eb54c0fe2bdd98e718f3e0587f2362be0ecd,98562316064012,127584220520054105
0x81e2f9ed2b784b978050b7085c36e662458dd225,2.1071449e+07,2022-08-29 22:16:02.000 UTC,0xb0f5b65d27cdce92583e743f5c954856422fe1368a2dfd78b40963685dcd6783,166696902074568,246687
